
#%Probeset listing for Clariom D Human
#%create_date=2021-05-18 PDT 09:19:03
#%input_query=*
gene_symbol	Clariom D Human
ZNF681	TC1900010221.hg.1
C19orf25	TC1900011834.hg.1
ATP8B3	TC1900009186.hg.1
LINC00905	TC1900007249.hg.1
DIRAS1	TC1900011842.hg.1
ZNF555	TC1900006602.hg.1
ZNF569	TC1900010568.hg.1
ZNF570	TC1900007975.hg.1
SYT6	TC0100015342.hg.1
C1orf74	TC0100017171.hg.1
CREB3L4	TC0100010058.hg.1
C1orf127	TC0100012864.hg.1
BROX	TC0100011695.hg.1
SAMD11	TC0100006476.hg.1
LOC148413	TC0100006510.hg.1
SAMD13	TC0100008879.hg.1
C1orf52	TC0100014774.hg.1
PHF13	TC0100006698.hg.1
CIART	TC0100009900.hg.1
TMEM56	TC0100009116.hg.1
NBPF4	TC0100015162.hg.1
UBE2U	TC0100008599.hg.1
SLC35F3	TC0100012010.hg.1
LINC00337	TC0100006682.hg.1
LOC148696	TC0100011423.hg.1
LOC148709	TC0100011238.hg.1
PTPRVP	TC0100011214.hg.1
HFE2	TC0100015599.hg.1
ANKRD35	TC0100015593.hg.1
FAM163A	TC0100010786.hg.1
OVAAL	TC0100010805.hg.1
B3GALNT2	TC0100017828.hg.1
MFSD4	TC0100011335.hg.1
PM20D1	TC0100017080.hg.1
HSD17B7P1	TC0100012327.hg.1
GCSAML	TC0100012318.hg.1
GCSAML-AS1	TC0100018101.hg.1
SLC30A7	TC0100009226.hg.1
CCDC27	TC0100006623.hg.1
ZNF436-AS1	TC0100007315.hg.1
KNCN	TC0100014058.hg.1
MOB3C	TC0100018438.hg.1
GLIS1	TC0100014240.hg.1
NBPF12	TC0100009770.hg.1
LELP1	TC0100010024.hg.1
RC3H1	TC0100016447.hg.1
MGC27382	TC0100008811.hg.1
DCDC2B	TC0100007671.hg.1
ZNF362	TC0100007716.hg.1
LINC01225	TC0100007641.hg.1
DCST1	TC0100018301.hg.1
CNIH3	TC0100018348.hg.1, TC0100018349.hg.1
LINC01341	TC0100012280.hg.1
MANEAL	TC0100007845.hg.1
IL23R	TC0100008648.hg.1
METTL11B	TC0100010559.hg.1
FAM78B	TC0100016276.hg.1
SHISA4	TC0100011197.hg.1
EXOC8	TC0100017729.hg.1
LOC149373	TC0100017720.hg.1
PDIK1L	TC0100007439.hg.1
BNIPL	TC0100009936.hg.1
CLDN19	TC0100013896.hg.1
CFAP57	TC0100008052.hg.1
C1orf210	TC0100013920.hg.1
CCDC24	TC0100008084.hg.1
BTBD19	TC0100008106.hg.1
CCDC17	TC0100014022.hg.1
LRRC71	TC0100010198.hg.1
C1orf64	TC0100007017.hg.1
RNF187	TC0100011873.hg.1
CHIAP2	TC0100009405.hg.1
PYHIN1	TC0100010243.hg.1
SPATA45	TC0100017261.hg.1
FAM71A	TC0100011534.hg.1
LOC149684	TC2000009917.hg.1
ADIG	TC2000007325.hg.1
GTSF1L	TC2000009169.hg.1
WFDC5	TC2000009210.hg.1
APCDD1L-AS1	TC2000007902.hg.1
GNAS-AS1	TC2000009638.hg.1
PRNT	TC2000008264.hg.1
LINC00654	TC2000009980.hg.1
C20orf196	TC2000006622.hg.1
NCOR1P1	TC2000009990.hg.1
LOC149950	TC2000007125.hg.1
COMMD7	TC2000008860.hg.1
BPIFB4	TC2000007142.hg.1
LSM14B	TC2000007991.hg.1
ANKRD30BP2	TC2100006541.hg.1
LIPI	TC2100007593.hg.1
ABCC13	TC2100006586.hg.1
LOC150051	TC2100006894.hg.1
LCA5L	TC2100008171.hg.1
IGSF5	TC2100007175.hg.1
SIK1	TC2100006442.hg.1, TC2100008297.hg.1
LINC00479	TC2100008218.hg.1
ZNF295-AS1	TC2100007235.hg.1
UMODL1-AS1	TC2100008240.hg.1
SLC9B1	TC0400011473.hg.1
CCT8L2	TC2200007871.hg.1
XKR3	TC2200007876.hg.1
LINC00895	TC2200007983.hg.1
LINC00896	TC2200006648.hg.1
AIFM3	TC2200009195.hg.1
RIMBP3C	TC2200006701.hg.1, TC2200009323.hg.1
YDJC	TC2200008099.hg.1
ZDHHC8P1	TC2200008165.hg.1
C22orf15	TC2200006860.hg.1
HSCB	TC2200007001.hg.1
CCDC117	TC2200009244.hg.1
HORMAD2	TC2200007043.hg.1
DUSP18	TC2200008449.hg.1
MORC2-AS1	TC2200007077.hg.1
C22orf42	TC2200008500.hg.1
ENTHD1	TC2200008759.hg.1
DNAJB7	TC2200008800.hg.1
CHADL	TC2200008818.hg.1
MEI1	TC2200007490.hg.1
FAM109B	TC2200007508.hg.1
NFAM1	TC2200008874.hg.1
PNPLA5	TC2200008921.hg.1
PRR34-AS1	TC2200009286.hg.1
CDPF1	TC2200009013.hg.1
GTSE1-AS1	TC2200009016.hg.1
TTL	TC0200008921.hg.1
CKAP2L	TC0200013912.hg.1
CBWD2	TC0200008971.hg.1
TEKT4	TC0200008447.hg.1
TISP43	TC0200014273.hg.1
SATB2-AS1	TC0200010388.hg.1
LINC01102	TC0200008708.hg.1
SMYD1	TC0200008334.hg.1
LINC01104	TC0200008607.hg.1
C2orf15	TC0200016497.hg.1
LINC01105	TC0200016399.hg.1
OTOS	TC0200016309.hg.1
MYEOV2	TC0200016308.hg.1
OR6B3	TC0200016303.hg.1
COMMD1	TC0200007739.hg.1
PROM2	TC0200008462.hg.1
ANKAR	TC0200010253.hg.1
FBXO41	TC0200013062.hg.1
TTC30B	TC0200015071.hg.1
LINC00342	TC0200016709.hg.1
GPAT2	TC0200013507.hg.1
ITPRIPL1	TC0200008501.hg.1
LOC150776	TC0200009342.hg.1
WTH3DI	TC0200014303.hg.1
FAM117B	TC0200010502.hg.1
TCF23	TC0200007055.hg.1
PTMAP5	TC1300007624.hg.1
LOC150935	TC0200011335.hg.1
GAREM2	TC0200007028.hg.1
PPIL1P1	TC0200007027.hg.1
PUS10	TC0200012727.hg.1
PKI55	TC0200010734.hg.1
LINC00309	TC0200012811.hg.1
LINC01106	TC0200013869.hg.1
SEPT10	TC0200013836.hg.1
KANSL1L	TC0200015601.hg.1
PLB1	TC0200007102.hg.1
ZSWIM2	TC0200015187.hg.1
LOC151121	TC0200014226.hg.1
ZNF385B	TC0200015093.hg.1
LINC01107	TC0200016236.hg.1
LOC151174	TC0200016221.hg.1
FAM132B	TC0200011276.hg.1
ARL6IP6	TC0200009687.hg.1
METTL21A	TC0200015548.hg.1
CCNYL1	TC0200010615.hg.1
KLHL23	TC0200016561.hg.1, TC0200016563.hg.1
SULT1C2P1	TC0200008799.hg.1
PPP1R1C	TC0200010165.hg.1
SGOL2	TC0200010419.hg.1
ALS2CR11	TC0200015429.hg.1
SLC38A11	TC0200014800.hg.1
CCDC140	TC0200010894.hg.1
SLC23A3	TC0200016773.hg.1
LINC00608	TC0200010825.hg.1
GPBAR1	TC0200010790.hg.1
FAHD2B	TC0200013552.hg.1
MYADML	TC0200012220.hg.1
FAM84A	TC0200006779.hg.1
RMDN2	TC0200007273.hg.1
GDF7	TC0200006900.hg.1
SLC16A14	TC0200015971.hg.1
LOC151475	TC0200015994.hg.1
LINC00471	TC0200016025.hg.1
LOC151484	TC0200011041.hg.1
MSL3P1	TC0200016100.hg.1
ASPRV1	TC0200012980.hg.1
WDSUB1	TC0200014717.hg.1
UPP2	TC0200016552.hg.1
LBX2-AS1	TC0200008087.hg.1
GPR155	TC0200014991.hg.1
TTC14	TC0300009625.hg.1
DTX3L	TC0300008558.hg.1
FAM19A4	TC0300011446.hg.1
SGOL1	TC0300010476.hg.1
PP2D1	TC0300010474.hg.1
EFHB	TC0300013950.hg.1, TC0300013951.hg.1
LINC00635	TC0300011932.hg.1
PPM1L	TC0300009353.hg.1
LOC151760	TC0300011973.hg.1
WDR49	TC0300014077.hg.1
LRRC34	TC0300013083.hg.1
CPNE9	TC0300006554.hg.1
DPPA2	TC0300011955.hg.1
CCDC80	TC0300014031.hg.1
BTLA	TC0300011997.hg.1
CCDC12	TC0300010966.hg.1
MB21D2	TC0300013555.hg.1
PPP4R2	TC0300013847.hg.1
XXYLT1	TC0300013626.hg.1
RNF38	TC0900012225.hg.1
GLIPR2	TC0900007115.hg.1
ROPN1B	TC0300008654.hg.1
LINC00691	TC0300010520.hg.1
C3orf22	TC0300012283.hg.1
PQLC2L	TC0300009302.hg.1
ZCWPW2	TC0300006898.hg.1
CMC1	TC0300006894.hg.1
VENTXP4	TC0300010551.hg.1
NEK10	TC0300010557.hg.1
C3orf79	TC0300009238.hg.1
CCDC50	TC0300009866.hg.1
PYDC2	TC0300009869.hg.1
SPICE1	TC0300012023.hg.1
CMTM8	TC0300006961.hg.1
NUDT16P1	TC0300013870.hg.1
CCDC13	TC0300010852.hg.1, TC0300013959.hg.1
NCBP2-AS2	TC0300010040.hg.1
LOC152225	TC0300008192.hg.1
FGD5	TC0300006691.hg.1
CIDECP	TC0300010226.hg.1
CNTN4	TC0300006454.hg.1
IGSF11	TC0300012109.hg.1
C3orf30	TC0300013862.hg.1
ZNF827	TC0400012048.hg.1
SH3D19	TC0400012977.hg.1
NFXL1	TC0400010612.hg.1
NIPAL1	TC0400012791.hg.1, TC0400012792.hg.1
PAQR3	TC0400011130.hg.1
SHISA3	TC0400007371.hg.1
LINC01618	TC0400007518.hg.1
SCFD2	TC0400010699.hg.1
MGAT4D	TC0400011974.hg.1
WWC2-AS2	TC0400012557.hg.1
ZNF595	TC0400006433.hg.1
LINC01085	TC0400006920.hg.1
FAM218A	TC0400009204.hg.1
JAKMIP1	TC0400009897.hg.1
THAP6	TC0400007876.hg.1
C4orf26	TC0400007877.hg.1
KLB	TC0400007282.hg.1
FAM53A	TC0400009741.hg.1
PPM1K	TC0400011283.hg.1
C4orf45	TC0400012257.hg.1
TRMT44	TC0400006756.hg.1
RASGEF1B	TC0400012938.hg.1
DAB2IP	TC0900008641.hg.1
SLC38A9	TC0500010779.hg.1
MGC32805	TC0500011859.hg.1, TC0500011861.hg.1
SLC36A2	TC0500012506.hg.1
SPINK13	TC0500009035.hg.1
CREBRF	TC0500009488.hg.1
CEP120	TC0500011881.hg.1
SLC25A48	TC0500008730.hg.1
TMEM167A	TC0500011333.hg.1
MBLAC2	TC0500011434.hg.1
TMEM161B	TC0500011408.hg.1
SRFBP1	TC0500008467.hg.1
JAKMIP2-AS1	TC0500009023.hg.1
PLEKHG4B	TC0500006435.hg.1
ZMAT2	TC0500013238.hg.1
MARVELD2	TC0500007676.hg.1
C5orf38	TC0500006558.hg.1
IRX2	TC0500009909.hg.1
BTNL9	TC0500009751.hg.1
ARSK	TC0500008121.hg.1
FAM81B	TC0500008114.hg.1
TTC23L	TC0500007120.hg.1
LOC153684	TC0500007284.hg.1
CCDC112	TC0500011748.hg.1
PPP1R2P3	TC0500009201.hg.1
FAM71B	TC0500012592.hg.1
PRELID2	TC0500013381.hg.1
SH3RF2	TC0500008994.hg.1
PLAC8L1	TC0500012371.hg.1
RNF145	TC0500012642.hg.1
LOC153910	TC0600013404.hg.1
ZC2HC1B	TC0600014190.hg.1
SNRNP48	TC0600006870.hg.1
CNKSR3	TC0600014361.hg.1
RAET1L	TC0600013539.hg.1
SAMD3	TC0600013160.hg.1
LINC01312	TC0600009504.hg.1
SLC2A12	TC0600013228.hg.1
LINC01010	TC0600009521.hg.1
MBOAT1	TC0600010991.hg.1
HDGFL1	TC0600007169.hg.1
PNLDC1	TC0600010061.hg.1
RNF217	TC0600009350.hg.1
NKAIN2	TC0600009343.hg.1
KHDC3L	TC0600008525.hg.1
CFAP206	TC0600014153.hg.1
LINC01600	TC0600010512.hg.1
BVES-AS1	TC0600008957.hg.1
LOC154449	TC0600014029.hg.1
CCDC167	TC0600011697.hg.1
RUNDC3B	TC0700008261.hg.1
ABCA13	TC0700007479.hg.1
C7orf60	TC0700012296.hg.1
LOC154761	TC0700013633.hg.1
CLEC2L	TC0700009346.hg.1
C7orf55	TC0700009337.hg.1
AMOT	TC0X00010532.hg.1
VKORC1L1	TC0700007822.hg.1
AMOTL1	TC1100013084.hg.1
LINC00689	TC0700009942.hg.1
FEZF1-AS1	TC0700008947.hg.1
IQUB	TC0700012456.hg.1
C7orf77	TC0700012478.hg.1
KCTD7	TC0700013382.hg.1
C7orf66	TC0700012242.hg.1
TMEM213	TC0700009323.hg.1
GIMAP8	TC0700009675.hg.1
CRYGN	TC0700013075.hg.1
ZNF425	TC0700012971.hg.1
LOC155060	TC0700013485.hg.1
ZNF746	TC0700012996.hg.1
ATP6V0E2	TC0700009649.hg.1
SLC2A7	TC0100012786.hg.1
AMZ1	TC0700013329.hg.1, TC0700013330.hg.1
OR7E136P	TC0700010223.hg.1
WBSCR27	TC0700011504.hg.1
SBDSP1	TC0700007948.hg.1
VPS37D	TC0700007984.hg.1
NSUN5P1	TC0700011476.hg.1, TC0700013391.hg.1
RBM33	TC0700009827.hg.1
AGR3	TC0700010358.hg.1
MGC27345	TC0700013618.hg.1
LOC157273	TC0800012259.hg.1, TC0800012260.hg.1
SGK223	TC0800009511.hg.1
PEBP4	TC0800009858.hg.1
CDCA2	TC0800007065.hg.1
FER1L6-AS2	TC0800011699.hg.1
TMEM65	TC0800012457.hg.1
LINC00964	TC0800012356.hg.1, TC0800012357.hg.1
RDH10	TC0800007957.hg.1
BAALC-AS2	TC0800011363.hg.1
ANKRD46	TC0800011259.hg.1
ESCO2	TC0800007119.hg.1
FBXO16	TC0800012396.hg.1
LINC00599	TC0800009550.hg.1
FAM84B	TC0800011764.hg.1
C8orf37	TC0800011158.hg.1
VPS13B	TC0800008352.hg.1
FAM87A	TC0800009318.hg.1
TDRP	TC0800009326.hg.1
ERICH1	TC0800009331.hg.1
SLC7A13	TC0800011018.hg.1
TDH	TC0800012265.hg.1
TMEM74	TC0800011462.hg.1
FAM91A1	TC0800008758.hg.1
C8orf48	TC0800006819.hg.1
MCMDC2	TC0800007866.hg.1
CLVS1	TC0800007787.hg.1
NKX6-3	TC0800010251.hg.1
KCNU1	TC0800007284.hg.1
SBSPON	TC0800010800.hg.1
CAMSAP1	TC0900011955.hg.1
C9orf62	TC0900009155.hg.1
C9orf66	TC0900009351.hg.1
LINC00032	TC0900009774.hg.1
LINGO2	TC0900009785.hg.1
NXNL2	TC0900007848.hg.1
C9orf163	TC0900009212.hg.1
MAMDC4	TC0900012193.hg.1
LCN6	TC0900012289.hg.1
AK8	TC0900011815.hg.1
EEF1A1P5	TC0900009050.hg.1
RPS10P3	TC0900007831.hg.1
OR1Q1	TC0900008670.hg.1
TTLL11	TC0900011423.hg.1
RASEF	TC0900010565.hg.1
HSD17B7P2	TC1000007346.hg.1
TTC39B	TC0900012209.hg.1
FAM201A	TC0900007195.hg.1
TRMT10B	TC0900007165.hg.1
TTC16	TC0900008817.hg.1
MIRLET7DHG	TC0900010850.hg.1
FAM120AOS	TC0900010837.hg.1
MGC24103	TC0900009608.hg.1
SAXO1	TC0900009643.hg.1
LINC00475	TC0900007946.hg.1
FREM1	TC0900009581.hg.1
KIAA2026	TC0900012201.hg.1, TC0900012202.hg.1
LINC00961	TC0900007106.hg.1
ATP8B5P	TC0900007081.hg.1
ZNF483	TC0900008425.hg.1
C9orf84	TC0900011209.hg.1
KIAA1958	TC0900008467.hg.1
TSTD2	TC0900010946.hg.1
ZNF782	TC0900010925.hg.1
LOC158434	TC0900010903.hg.1
LOC158435	TC0900008095.hg.1
PRUNE2	TC0900010470.hg.1
ZNF645	TC0X00006779.hg.1
CSAG1	TC0X00011134.hg.1
FMR1NB	TC0X00008671.hg.1
USP27X-AS1	TC0X00009673.hg.1
FAAH2	TC0X00007416.hg.1
ZXDB	TC0X00007424.hg.1
LINC00889	TC0X00010954.hg.1
FAM47A	TC0X00009353.hg.1
MOSPD2	TC0X00006671.hg.1
ARHGAP36	TC0X00008415.hg.1
RIBC1	TC0X00007325.hg.1
AKAP14	TC0X00008264.hg.1
RHOXF1	TC0X00010664.hg.1
NKAPP1	TC0X00011392.hg.1
MAGEB6	TC0X00006839.hg.1
CXorf65	TC0X00009980.hg.1
AWAT1	TC0X00007532.hg.1
AWAT2	TC0X00009952.hg.1
ZDHHC15	TC0X00010107.hg.1
USP51	TC0X00009806.hg.1
TCEAL6	TC0X00010380.hg.1
CH17-340M24.3	TC0X00011199.hg.1
H2BFWT	TC0X00010440.hg.1
CXorf38	TC0X00009440.hg.1
FAM122B	TC0X00010877.hg.1
FAM122C	TC0X00008481.hg.1
HSFY2	TC0Y00006699.hg.1, TC0Y00007338.hg.1
RBMY2EP	TC0Y00007180.hg.1
RBMY2FP	TC0Y00006763.hg.1
RBMY1F	TC0Y00006763.hg.1, TC0Y00007343.hg.1
USP54	TC1000011026.hg.1
NKX2-3	TC1000008619.hg.1
SLC35G1	TC1000008492.hg.1
CFAP58	TC1000008806.hg.1
SLC5A12	TC1100010393.hg.1
CCDC67	TC1100008779.hg.1
PATE1	TC1100009426.hg.1
C11orf65	TC1100012227.hg.1
LDHAL6A	TC1100007006.hg.1
C11orf42	TC1100006720.hg.1
KRT19P2	TC1200008500.hg.1
TMTC2	TC1200008322.hg.1
CLEC12A	TC1200006779.hg.1
CLECL1	TC1200009875.hg.1
TMTC3	TC1200008373.hg.1
C12orf50	TC1200011453.hg.1
ALDH1L2	TC1200011770.hg.1
LMNTD1	TC1200012778.hg.1
DENND5B	TC1200010284.hg.1
GRASP	TC1200007652.hg.1
SLC5A8	TC1200011690.hg.1
PPTC7	TC1200011911.hg.1
CCDC63	TC1200008855.hg.1
CCDC60	TC1200009096.hg.1
DGKH	TC1300006987.hg.1
CCDC122	TC1300008772.hg.1
GPR180	TC1300007731.hg.1
STOML3	TC1300008659.hg.1
FAM71D	TC1400007490.hg.1
TMEM229B	TC1400010762.hg.1, TC1400010763.hg.1
ACTN1-AS1	TC1400007543.hg.1
SYNE3	TC1400010784.hg.1
CLEC14A	TC1400008994.hg.1
FITM1	TC1400010582.hg.1
REM2	TC1400006664.hg.1
OR4H12P	TC1400006485.hg.1
TMEM30B	TC1400009361.hg.1
MDGA2	TC1400009076.hg.1
SAMD15	TC1400007755.hg.1
RPL7AP10	TC1900010131.hg.1
NOP9	TC1400010585.hg.1
EML5	TC1400009924.hg.1
STRC	TC1500009224.hg.1
CFAP161	TC1500008053.hg.1
TBC1D21	TC1500007825.hg.1
DYX1C1	TC1500010870.hg.1
CSNK1A1P1	TC1500009034.hg.1
OTUD7A	TC1500010845.hg.1
SPRED1	TC1500006896.hg.1
ODF3L1	TC1500007905.hg.1
PGBD4	TC1500006816.hg.1
ADAL	TC1500007056.hg.1
EXD1	TC1500009143.hg.1
FSIP1	TC1500010853.hg.1
ZFPM1	TC1600008822.hg.1
ADAD2	TC1600008640.hg.1
ITPRIPL2	TC1600011359.hg.1
C16orf82	TC1600007307.hg.1
LOC162137	TC1600010124.hg.1
ZFP1	TC1600008435.hg.1
ANKFN1	TC1700008344.hg.1
MARCH10	TC1700011390.hg.1
MFSD6L	TC1700009706.hg.1
SLFN5	TC1700007585.hg.1
NAGS	TC1700007974.hg.1
FAM134C	TC1700010732.hg.1
TMEM92	TC1700008247.hg.1
PHOSPHO1	TC1700011033.hg.1
RHBDL3	TC1700012229.hg.1
TRPV3	TC1700012333.hg.1
SLC16A11	TC1700009610.hg.1
FBXO39	TC1700006710.hg.1
SPPL2C	TC1700008080.hg.1
KRT28	TC1700010638.hg.1
USP32P1	TC1700012201.hg.1
ZNF519	TC1800009258.hg.1
C18orf54	TC1800007355.hg.1
TCEB3C	TC1800008609.hg.1, TC1800009279.hg.1
ZNF836	TC1900012023.hg.1
ZNF610	TC1900008694.hg.1
ZNF600	TC1900012024.hg.1
ZNF320	TC1900012027.hg.1, TC1900012028.hg.1
ZNF497	TC1900011619.hg.1
ZNF550	TC1900011571.hg.1
ZNF296	TC1900011978.hg.1
DEDD2	TC1900010792.hg.1
ZNF846	TC1900011858.hg.1, TC1900011859.hg.1
OR7D2	TC1900006926.hg.1
CYP2T3P	TC1900008139.hg.1
ZNF579	TC1900011483.hg.1
ZNF791	TC1900007085.hg.1
ZNF564	TC1900011886.hg.1
ZNF709	TC1900011885.hg.1
ZNF433	TC1900011873.hg.1
ZNF114	TC1900008445.hg.1
ZNF567	TC1900007950.hg.1
ZNF383	TC1900007963.hg.1
TAF9P3	TC1900007697.hg.1
ZNF781	TC1900011936.hg.1
EID2	TC1900010665.hg.1
ZNF780B	TC1900011951.hg.1, TSUnmapped00000054.hg.1, TSUnmapped00000100.hg.1, TSUnmapped00000177.hg.1, TSUnmapped00000206.hg.1, TSUnmapped00000369.hg.1, TSUnmapped00000480.hg.1, TSUnmapped00000785.hg.1
PRR22	TC1900011848.hg.1
LGI4	TC1900010466.hg.1
SYNE4	TC1900011931.hg.1
ZNF676	TC1900010172.hg.1
ZNF100	TC1900010158.hg.1
ZNF540	TC1900011724.hg.1
DENND2C	TC0100018466.hg.1
GBP6	TC0100008975.hg.1
PLPPR5	TC0100015042.hg.1
FNDC7	TC0100009329.hg.1
DENND1B	TC0100016839.hg.1
TDRD5	TC0100010784.hg.1
TOR1AIP2	TC0100016567.hg.1
CALML6	TC0100006540.hg.1
IFNLR1	TC0100013315.hg.1
CYP4Z2P	TC0100014068.hg.1
CITED4	TC0100013846.hg.1
SLC25A3P1	TC0100014238.hg.1
LEXM	TC0100008410.hg.1
SPRR4	TC0100010016.hg.1
KANK4	TC0100014403.hg.1
SASS6	TC0100015058.hg.1
SDE2	TC0100017505.hg.1
CNST	TC0100012272.hg.1
FAM43B	TC0100007205.hg.1
HFM1	TC0100014904.hg.1
PAQR7	TC0100013368.hg.1
TTC24	TC0100010184.hg.1
CCDC185	TC0100011712.hg.1
UBL4B	TC0100009370.hg.1
WFDC13	TC2000007497.hg.1
APCDD1L	TC2000009624.hg.1
LRRN4	TC2000008316.hg.1
CST13P	TC2000006966.hg.1
TTLL9	TC2000007094.hg.1
CCDC116	TC2200006716.hg.1
CABP7	TC2200007032.hg.1
TMPRSS6	TC2200008635.hg.1
APOBEC3H	TC2200007382.hg.1
WBP2NL	TC2200007506.hg.1
TTLL8	TC2200009140.hg.1
DAW1	TC0200010982.hg.1
LONRF2	TC0200013638.hg.1
CCDC138	TC0200016504.hg.1, TC0200016505.hg.1
ADGRF3	TC0200012035.hg.1
C2orf57	TC0200011070.hg.1
OXER1	TC0200012382.hg.1
FAM179A	TC0200007113.hg.1
FAM171B	TC0200010219.hg.1
C1QL2	TC0200014024.hg.1
UBXN2A	TC0200006951.hg.1
CLEC4F	TC0200013005.hg.1
DQX1	TC0200013111.hg.1
PARP15	TC0300008559.hg.1
SPTSSB	TC0300012980.hg.1
DNAJB8	TC0300012338.hg.1
GPR156	TC0300012140.hg.1
XIRP1	TC0300010772.hg.1
RNF168	TC0300013703.hg.1
CHST13	TC0300008677.hg.1
PRICKLE2	TC0300011386.hg.1
KBTBD12	TC0300008711.hg.1
SPATA5	TC0400008620.hg.1
BBS12	TC0400008616.hg.1
DCLK2	TC0400008972.hg.1
ADGRA3	TC0400012907.hg.1
TRIM60	TC0400009210.hg.1
FREM3	TC0400012011.hg.1
MMAA	TC0400008912.hg.1
ZBTB49	TC0400006637.hg.1
TIGD2	TC0400008119.hg.1
RASSF6	TC0400011005.hg.1
RBM46	TC0400009074.hg.1
SGMS2	TC0400008345.hg.1, TC0400008346.hg.1
MIER3	TC0500010813.hg.1
CDC20B	TC0500010753.hg.1
UGT3A2	TC0500010491.hg.1
PAPD4	TC0500007890.hg.1
DCP2	TC0500008342.hg.1
NIM1K	TC0500007292.hg.1
LIX1	TC0500011528.hg.1
ZNF366	TC0500011100.hg.1
FAM151B	TC0500007915.hg.1
PRSS35	TC0600008670.hg.1
LCA5	TC0600012372.hg.1
OLIG3	TC0600013305.hg.1
TXLNB	TC0600014350.hg.1
DACT2	TC0600013962.hg.1
C6orf118	TC0600013852.hg.1
PRSS3P1	TC0700013482.hg.1
ZNF92	TC0700007807.hg.1
GALNTL5	TC0700009725.hg.1
DDX53	TC0X00006788.hg.1
ZNF679	TC0700013367.hg.1
RNF133	TC0700012448.hg.1
CDC14C	TC0700007489.hg.1
THAP5	TC0700013606.hg.1
CCDC71L	TC0700012190.hg.1
PKD1L1	TC0700011007.hg.1
GIMAP7	TC0700009676.hg.1
ZNF467	TC0700013013.hg.1
BHLHA15	TC0700008454.hg.1
BMPER	TC0700007149.hg.1
PER4	TC0700006699.hg.1
ZNF800	TC0700013615.hg.1
CNBD1	TC0800008154.hg.1
SLC30A8	TC0800008632.hg.1
COL22A1	TC0800011954.hg.1
SNX31	TC0800011260.hg.1
TMEM64	TC0800011071.hg.1
ZNF596	TC0800006439.hg.1
IDO2	TC0800007384.hg.1
STKLD1	TC0900009076.hg.1
KCNV2	TC0900006483.hg.1
OLFML2A	TC0900008740.hg.1
TMEM252	TC0900010322.hg.1
QSOX2	TC0900011970.hg.1
GLIS3	TC0900009424.hg.1
ZNF883	TC0900011246.hg.1
ZNF169	TC0900008022.hg.1
FAM46D	TC0X00007733.hg.1
SPIN3	TC0X00009836.hg.1
FAM47B	TC0X00006924.hg.1
SUPT20HL2	TC0X00009262.hg.1
TCEANC	TC0X00011274.hg.1, TC0X00011275.hg.1
ZCCHC12	TC0X00008232.hg.1
ARX	TC0X00009271.hg.1
FAM170B	TC1000010592.hg.1
C10orf128	TC1000010593.hg.1
FUT11	TC1000008046.hg.1
OIT3	TC1000008011.hg.1
C10orf91	TC1000009408.hg.1
PWWP2B	TC1000009404.hg.1
LINC00858	TC1000008274.hg.1
SSBP4	TC1900007386.hg.1
CLEC4C	TC1200009793.hg.1
ARF4P2	TC2000009781.hg.1
ACTL10	TC2000007162.hg.1
CDC42P1	TC2000008924.hg.1
COX6CP2	TC2000007693.hg.1
DHX36	TC0300012857.hg.1
FAT1P1	TC2000008388.hg.1
KRT18P3	TC2000008641.hg.1
RPSAP1	TC2000009451.hg.1
PA2G4P2	TC2000006726.hg.1
PGAM3P	TC2000006715.hg.1
PPIAP2	TC2000008744.hg.1
PPIAP3	TC2000007289.hg.1
PPIAP17	TC2000008469.hg.1
PTMAP6	TC2000009559.hg.1
SF3A3P1	TC2000008225.hg.1
SNRPFP1	TC2000009394.hg.1
SRMP1	TC2000007587.hg.1
DYNLT3P1	TC2000008491.hg.1
UBE2V1P1	TC2000008221.hg.1
XPOTP1	TC2000008914.hg.1
HTR3C	TC0300009686.hg.1
GIMAP1	TC0700013491.hg.1
GPHA2	TC1100011195.hg.1
S100Z	TC0500007836.hg.1
COMMD6	TC1300009273.hg.1
XAGE3	TC0X00009733.hg.1
XAGE5	TC0X00007301.hg.1
PSORS1C1	TC0600007562.hg.1
PSORS1C2	TC0600011403.hg.1
NUDT10	TC0X00007261.hg.1
NUDT4P2	TC0100009760.hg.1
ADAMTS15	TC1100009533.hg.1
ADAMTS16	TC0500006613.hg.1
ADAMTS17	TC1500010630.hg.1
ADAMTS18	TC1600010914.hg.1
COX7B2	TC0400010601.hg.1
GSX2	TC0400007534.hg.1
KCNG3	TC0200012374.hg.1
DEFT1P	TC0800009438.hg.1
PPP1R18	TC0600011376.hg.1
ZNF525	TC1900008745.hg.1
ZNF431	TC1900007512.hg.1
ZNF721	TC0400009681.hg.1
ANKRD24	TC1900006680.hg.1
ZNF384	TC1200009748.hg.1
ADAMTS19	TC0500008586.hg.1
ABHD11-AS1	TC0700007988.hg.1
ASXL1	TC2000007117.hg.1
SYNPO2	TC0400008551.hg.1
SPACA4	TC1900008479.hg.1
RHOV	TC1500009130.hg.1
DSTNP2	TC1200012589.hg.1
NLRP6	TC1100006442.hg.1
LOC171391	TC1100006488.hg.1
ZNF675	TC1900011928.hg.1
PDIA3P1	TC0100009776.hg.1
SPA17P1	TC1000011083.hg.1
CLYBL	TC1300007845.hg.1
FAM9A	TC0X00009029.hg.1
FAM9B	TC0X00009036.hg.1
