
#%Probeset listing for Clariom D Human
#%create_date=2021-05-18 PDT 09:19:03
#%input_query=*
gene_symbol	Clariom D Human
FGFR3	TC0400006540.hg.1
GPC5	TC1300007707.hg.1
FGFR2	TC1000012050.hg.1
FGFR4	TC0500009609.hg.1
FGG	TC0400012182.hg.1
FGL1	TC0800009745.hg.1
FGR	TC0100013441.hg.1
FH	TC0100017945.hg.1
FHIT	TC0300011324.hg.1
FHL1	TC0X00008526.hg.1
FHL2	TC0200013750.hg.1
FHL3	TC0100013761.hg.1
FIGF	TC0X00011354.hg.1
FKBP1A	TC2000009965.hg.1
FKBP1B	TC0200016413.hg.1
FKBP1AP1	TC1900011589.hg.1
FKBP1AP2	TC1500009976.hg.1
FKBP2	TC1100007941.hg.1
FKBP3	TC1400009065.hg.1
FKBP4	TC1200006503.hg.1
FKBP5	TC0600011635.hg.1
FOXG1	TC1400006791.hg.1
FOXF1	TC1600008735.hg.1
FOXF2	TC0600006530.hg.1
FOXC1	TC0600006554.hg.1
FOXD1	TC0500011121.hg.1
FOXD4	TC0900009345.hg.1
FOXI1	TC0500009386.hg.1
FOXL1	TC1600008739.hg.1
FOXE3	TC0100008193.hg.1
FOXJ1	TC1700011786.hg.1
FOXC2	TC1600008738.hg.1
FOXE1	TC0900008168.hg.1
FOXM1	TC1200009621.hg.1
FOXD2	TC0100008194.hg.1
FOXS1	TC2000008824.hg.1
FOXO1	TC1300008688.hg.1
FOXO3	TC0600009059.hg.1
FOXO3B	TC1700012371.hg.1
FLG	TC0100015830.hg.1
FLI1	TC1100009485.hg.1
FLII	TC1700009969.hg.1
MLANA	TC0900006569.hg.1
FLNA	TC0X00011194.hg.1
FLNB	TC0300007596.hg.1
FLNC	TC0700009066.hg.1
FLOT2	TC1700010218.hg.1
FLT1	TC1300008463.hg.1
FLT3	TC1300008453.hg.1
FLT3LG	TC1900011779.hg.1
FLT4	TC0500013100.hg.1
FMO1	TC0100010584.hg.1
FMO2	TC0100010583.hg.1
FMO3	TC0100010579.hg.1
